state,count
missing,2748
Texas,1260
Florida,1237
Wisconsin,902
New York,831
Illinois,695
Ohio,586
Georgia,553
Virginia,513
Rhode Island,453
Oregon,310
New Jersey,305
Massachusetts,256
Arizona,228
California,184
